region,district,year,month,anomaly_label,anomaly_score,is_anomaly
Ahafo,Goaso,2018,3,1,0.41110279363789703,0
Ahafo,Asutifi North,2018,4,1,0.4347073033082852,0
Ahafo,Goaso,2018,4,1,0.42069113380152445,0
Ahafo,Asutifi North,2018,5,1,0.41022665084400745,0
Ahafo,Goaso,2018,5,1,0.4139825912460066,0
Ahafo,Asutifi North,2018,6,1,0.4019717392268095,0
Ahafo,Goaso,2018,6,1,0.4226252990872302,0
Ahafo,Asutifi North,2018,7,1,0.40753091687044724,0
Ahafo,Goaso,2018,7,1,0.41464828813689864,0
Ahafo,Asutifi North,2018,8,1,0.4026364120566599,0
Ahafo,Goaso,2018,8,1,0.4133437367567425,0
Ahafo,Asutifi North,2018,9,1,0.416551946007404,0
Ahafo,Goaso,2018,9,1,0.4222107738222732,0
Ahafo,Asutifi North,2018,10,1,0.42777176205390993,0
Ahafo,Goaso,2018,10,1,0.3999008254501305,0
Ahafo,Asutifi North,2018,11,1,0.48482315092816336,0
Ahafo,Goaso,2018,11,1,0.47849175497988183,0
Ahafo,Asutifi North,2018,12,1,0.5217956023026141,0
Ahafo,Goaso,2018,12,1,0.4583757248499407,0
Ahafo,Asutifi North,2019,1,1,0.5077281119894054,0
Ahafo,Goaso,2019,1,1,0.48116265076527953,0
Ahafo,Asutifi North,2019,2,1,0.4932446877310184,0
Ahafo,Goaso,2019,2,1,0.4360145784768009,0
Ahafo,Asutifi North,2019,3,1,0.46637372293483204,0
Ahafo,Goaso,2019,3,1,0.47859010709118444,0
Ahafo,Asutifi North,2019,4,1,0.4411466093939893,0
Ahafo,Goaso,2019,4,1,0.4627317269175933,0
Ahafo,Asutifi North,2019,5,1,0.42495195558063437,0
Ahafo,Goaso,2019,5,1,0.45301993422507597,0
Ahafo,Asutifi North,2019,6,1,0.42315806171155806,0
Ahafo,Goaso,2019,6,1,0.44937473413098505,0
Ahafo,Asutifi North,2019,7,1,0.40948912215027544,0
Ahafo,Goaso,2019,7,1,0.4180581056157333,0
Ahafo,Asutifi North,2019,8,1,0.4136926713322688,0
Ahafo,Goaso,2019,8,1,0.40936315331941586,0
Ahafo,Asutifi North,2019,9,1,0.4196774080543183,0
Ahafo,Goaso,2019,9,1,0.4168477694083491,0
Ahafo,Asutifi North,2019,10,1,0.41380915724960904,0
Ahafo,Goaso,2019,10,1,0.4027328707654282,0
Ahafo,Asutifi North,2019,11,1,0.4876492594968502,0
Ahafo,Goaso,2019,11,1,0.49992081098275803,0
Ahafo,Asutifi North,2019,12,1,0.46174873416921297,0
Ahafo,Goaso,2019,12,1,0.4555645271540231,0
Ahafo,Asutifi North,2020,1,1,0.47700494727772486,0
Ahafo,Goaso,2020,1,1,0.4651467012468927,0
Ahafo,Asutifi North,2020,2,1,0.447879731456681,0
Ahafo,Goaso,2020,2,1,0.42493598565563817,0
Ahafo,Asutifi North,2020,3,1,0.435392104642891,0
Ahafo,Goaso,2020,3,1,0.4139769992909199,0
Ahafo,Asutifi North,2020,4,1,0.41932202118482564,0
